BLS_YEAR;NUM_PART;SIGLA_PARTIDO;NOME_PARTIDO;CRITERIA;ANO_ELEICAO;SIGLA_BLS;IDEOLOGY;IDEO.SE;IDEO.RAW;imputed
2001;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;20;PSC;PARTIDO SOCIAL CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;2002;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;22;PL;PARTIDO LIBERAL;MP;2002;PL;0.4330784457283188;0.03558684172359482;0.8707724262229155;0
2001;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;2002;CID;-0.3761088480345902;0.03423419785711613;-0.5271521979420293;0
2001;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;2002;DEM;0.7201702715259768;0.03896259933330191;1.3552595963839174;0
2001;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;29;PCO;PARTIDO DA CAUSA OPERÁRIA;HL;2002;NA;-0.8690282211075437;0.04031657716071409;-1.40056246782812;1
2001;30;PGT;PARTIDO GERAL DOS TRABALHADORES;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;31;PHS;PARTIDO DA HUMANISTA DA SOLIDARIEDADE;"AVERAGE PDT + PSB (12;40)";2002;NA;-0.5357706750100324;0.035933028064736375;-0.7835791964655084;1
2001;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;36;PTC;PARTIDO TRABALHISTA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;2002;PSB;-0.6050253725181196;0.03613723070511985;-0.9085963098755826;0
2001;41;PSD;PARTIDO SOCIAL DEMOCRÁTICO;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";2002;NA;-0.5357706750100324;0.035933028064736375;-0.7835791964655084;1
2001;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;MP;2002;PSDB;0.1901473388204772;0.03456542696305012;0.44974928620565857;0
2001;56;PRONA;PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2001;65;PC do B;PARTIDO COMUNISTA DO BRASIL;MP;2002;PCDOB;-0.8690282211075437;0.04031657716071409;-1.40056246782812;0
2001;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;"AVERAGE PTB + PL/PR (14;22)";2002;NA;0.44992593671671266;0.03618983067493458;0.8780201595672975;1
2005;11;PP;PARTIDO PROGRESSISTA;MP;2004;PP;0.6908803445167995;0.0433653887874696;1.1490367351478716;0
2005;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;MP;2004;PDT;-0.31235058789091724;0.03858167250086757;-0.3991393329660623;0
2005;13;PT;PARTIDO DOS TRABALHADORES;MP;2004;PT;-0.4714807256898452;0.03927979110719337;-0.5928695017355247;0
2005;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;MP;2004;PTB;0.40219969288268825;0.03903155306370766;0.7200037859997914;0
2005;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;MP;2004;MDB;0.14731615687538585;0.03674902881110708;0.34184571686663834;0
2005;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;HL;2004;NA;-0.6928309803776889;0.04157114235734514;-0.9840159212347114;1
2005;17;PSL;PARTIDO SOCIAL LIBERAL;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;19;PTN;PARTIDO TRABALHISTA NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;20;PSC;PARTIDO SOCIAL CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;21;PCB;PARTIDO COMUNISTA BRASILEIRO;HL;2004;NA;-0.6928309803776889;0.04157114235734514;-0.9840159212347114;1
2005;22;PL;PARTIDO LIBERAL;MP;2004;PL;0.44199265377114616;0.04024768050716464;0.7853260087096535;0
2005;23;PPS;PARTIDO POPULAR SOCIALISTA;MP;2004;CID;-0.368853269719584;0.0378443973255549;-0.48270109319343873;0
2005;25;PFL;PARTIDO DA FRENTE LIBERAL;MP;2004;DEM;0.6765360187840834;0.04340368634333338;1.143208782972141;0
2005;26;PAN;PARTIDO DOS APOSENTADOS DA NAÇÃO;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;29;PCO;PARTIDO DA CAUSA OPERÁRIA;HL;2004;NA;-0.6928309803776889;0.04157114235734514;-0.9840159212347114;1
2005;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;"AVERAGE PDT + PSB (12;40)";2004;NA;-0.39929765389443983;0.03881144535623829;-0.5251135565261009;1
2005;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;36;PTC;PARTIDO TRABALHISTA CRISTÃO;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
2005;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;MP;2004;PSB;-0.4862447198979625;0.03904121821160901;-0.6510877800861395;0
2005;43;PV;PARTIDO VERDE;"AVERAGE PDT + PSB (12;40)";2004;NA;-0.39929765389443983;0.03881144535623829;-0.5251135565261009;1
2005;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;"AVERAGE PTB + PL/PR (14;22)";2004;NA;0.4220961733269172;0.03963961678543615;0.7526648973547225;1
